feature,mean_abs_shap
PWY-7560: methylerythritol phosphate pathway II,0.000772649122642961
PWY-5100: pyruvate fermentation to acetate and lactate II,0.0007716544773795957
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I,0.0007712670313487212
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,0.0007684831523358251
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,0.0007645028235534008
COLANSYN-PWY: colanic acid building blocks biosynthesis,0.0007639463217154939
PWY-6731: starch degradation III,0.0007605193131056682
METH-ACETATE-PWY: methanogenesis from acetate,0.0007592631683265067
PWY-6549: L-glutamine biosynthesis III,0.0007556031421907178
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0.0007545101892537098
"PWY-7388: octanoyl-_acyl-carrier protein_ biosynthesis (mitochondria, yeast)",0.0007494197591718244
PWY66-422: D-galactose degradation V (Leloir pathway),0.0007478694318514321
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,0.0007462005243380199
PWY-5667: CDP-diacylglycerol biosynthesis I,0.0007433477591786712
PWY-5104: L-isoleucine biosynthesis IV,0.0007426354438080644
CENTFERM-PWY: pyruvate fermentation to butanoate,0.0007418850820760088
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),0.0007371193885915161
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",0.0007371127069337681
PWY-7208: superpathway of pyrimidine nucleobases salvage,0.000733164913272096
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate),0.0007317589557365694
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans,0.0007275499416812417
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,0.0007270478486665502
PWY-6608: guanosine nucleotides degradation III,0.0007254740389488071
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,0.0007253327180734134
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,0.0007249999041001355
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,0.0007202547867016457
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),0.0007183800409417371
PWY-5265: peptidoglycan biosynthesis II (staphylococci),0.000714293008578288
PWY66-398: TCA cycle III (animals),0.000701292074497358
PWY-5392: reductive TCA cycle II,0.0007008134223037378
PWY-7663: gondoate biosynthesis (anaerobic),0.0006991365448551202
PWY0-1319: CDP-diacylglycerol biosynthesis II,0.0006990348218668366
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,0.0006974838817512052
PWY-5022: 4-aminobutanoate degradation V,0.000696803548515807
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,0.0006946865993784472
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),0.0006941558233793867
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,0.0006930969102504293
"PWY-7013: L-1,2-propanediol degradation",0.0006915496714315674
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,0.0006900599220018154
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),0.0006871147336728959
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,0.0006852821649685232
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae,0.0006846048205804983
PYRIDNUCSAL-PWY: NAD salvage pathway I,0.0006831104517362736
PWY-6612: superpathway of tetrahydrofolate biosynthesis,0.0006815773452499484
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,0.0006756378975344247
PWY-6263: superpathway of menaquinol-8 biosynthesis II,0.000674784627491136
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,0.0006730484416492991
PWY-6151: S-adenosyl-L-methionine cycle I,0.0006698095912323056
